1,2,108.44
1,3,48.61
1,25,214.724
1,110,79.893
2,111,90.571
3,107,154.66
3,110,126.62
4,6,1121.25
4,93,668.61
5,6,532.56
7,18,137.056
7,83,482.241
7,94,194.631
8,9,338.856
8,10,162.118
8,11,141.029
8,22,231.056
9,10,281.014
9,11,246.07
9,12,176.6
9,13,299.68
10,19,999.03
10,22,343.045
10,62,118.65
10,63,213.372
11,19,806.154
11,22,150.136
12,13,247.777
14,40,348.99
14,52,534.865
15,16,93.09
15,18,218.692
16,17,140.1
17,18,218.69
17,67,515.61
17,94,183.61
18,94,158.309
19,20,136.99
19,21,575.53
20,21,712.628
20,92,406.12
21,93,553.99
22,88,691.73
22,109,335.41
23,24,58.592
23,25,106.524
23,78,155.27
23,87,498.59
24,80,147.453
24,87,284.88
25,27,145.694
25,38,55.208
26,27,27.24
26,53,127.608
26,78,141.481
26,81,145.492
27,38,186.488
27,57,121.026
27,78,168.079
28,58,117.398
28,59,140.947
28,68,428.172
28,76,221.83
29,30,19.112
29,32,143.665
29,33,154.911
29,42,117.898
29,48,75.179
30,31,41.709
30,71,60.284
30,75,94.472
31,33,153.923
31,75,136.759
31,82,244.132
32,33,27.067
32,46,69.004
32,81,38.433
33,80,38.586
33,82,80.583
34,35,134.782
34,38,317.649
34,56,46.899
35,36,164.665
35,40,190.687
35,56,163.982
36,37,261.458
36,108,161.842
36,111,229.057
37,39,47.957
37,61,96.515
38,57,296.363
38,111,131.154
39,40,29.378
41,45,53.558
41,47,48.828
41,59,109.904
42,46,89.458
42,48,62.554
42,49,58.263
43,44,103.597
43,45,82.565
43,47,157.579
43,54,108.948
44,45,102.002
44,46,79.288
44,49,87.264
44,53,8.41
45,49,102.778
46,49,90.498
46,81,64.175
47,54,203.275
47,59,156.812
48,71,127.791
48,98,113.282
50,54,137.258
50,55,133.966
50,57,89.928
51,52,18.219
51,55,54.472
51,56,176.347
51,57,17.491
52,55,44.674
53,54,36.109
53,57,204.089
55,58,467.737
56,57,207.39
58,59,29.58
59,76,98.106
59,77,248.426
60,61,164.66
60,90,279.43
60,108,233.387
62,63,96.01
62,95,184.46
63,86,259.42
63,95,247.6
63,96,306.569
64,65,281.909
64,67,107.04
65,68,261.41
65,73,284.521
65,74,367.61
66,67,287.22
66,68,259.142
69,70,130.195
69,72,112.616
69,74,64.3
69,75,153.751
69,104,259.352
70,71,100.751
70,72,15.833
70,97,96.814
70,99,238.642
71,75,51.921
71,97,169.121
71,98,128.443
72,73,113.855
72,77,51.908
73,74,148.6
73,76,34.25
73,77,156.97
74,104,218.362
75,99,289.473
75,103,128.693
77,98,85.059
78,80,18.245
78,81,34.422
79,82,133.462
79,87,84.147
80,81,30.801
80,82,64.871
83,84,214.79
84,106,179.44
85,106,102.35
86,87,491.06
86,110,346.38
87,96,362.772
87,101,393.32
88,90,226
88,91,294.792
89,91,197.74
89,92,211.411
92,93,565.38
95,96,584.5
97,98,45.549
99,100,9.277
99,101,264.69
99,102,132.843
99,104,96.784
100,102,140.755
100,104,104.696
101,103,65.42
102,104,36.695
103,104,285.31
105,106,110.13
107,108,159.768
107,109,171.06
107,110,199.911
108,109,329.15
108,111,174.01
109,110,306.68
2,1,108.44
3,1,48.61
25,1,214.724
110,1,79.893
111,2,90.571
107,3,154.66
110,3,126.62
6,4,1121.25
93,4,668.61
